train_loss,val_loss,train_acc,val_acc,epoch
1.5079407608117934,1.402718248443502,0.47478601997146935,0.5412782956058588,1
1.338821970447154,1.287334459361319,0.5112696148359487,0.5599201065246339,2
1.2631100571274587,1.2101452605384644,0.5419579172610557,0.5599201065246339,3
1.1940234131887875,1.1368502793553348,0.5703102710413694,0.5406125166444741,4
1.131341721191896,1.0810544694787494,0.5974679029957204,0.6211717709720372,5
1.0647636696887595,1.0352531133415537,0.6046184022824537,0.6291611185086551,6
1.0067732864031609,1.0019173988410224,0.6173680456490728,0.651797603195739,7
0.956854272960086,0.9257703375086168,0.6349144079885878,0.6411451398135819,8
0.9152986157127522,1.0495520978570778,0.6413516405135521,0.6677762982689747,9
0.8696163120691515,0.8697901925694609,0.6520328102710413,0.6657789613848203,10
0.8347377563339157,0.9275573246409191,0.6580242510699001,0.6471371504660453,11
0.8105924666863196,0.9087993321263202,0.6663159771754636,0.677762982689747,12
0.7817336575748577,0.9307437342667231,0.6764621968616262,0.6624500665778962,13
0.761580038274746,0.9175508618751632,0.6755527817403709,0.6711051930758988,14
0.7563344462962022,0.9110137988105119,0.6764978601997147,0.6750998668442078,15
