train_loss,val_loss,train_acc,val_acc,epoch
1.7162546868671194,1.6168334804743172,0.45263908701854494,0.525965379494008,1
1.5968688382911955,1.5050335779647217,0.47236091298145505,0.5199733688415447,2
1.5447989828746431,1.5450156333443328,0.4754636233951498,0.481358189081225,3
1.535977661558633,1.5703580160433062,0.47223609129814553,0.47003994673768307,4
1.5459632007949873,1.5160514918687975,0.4804564907275321,0.4840213049267643,5
1.5189919733286925,1.4856007926949808,0.4849679029957204,0.5206391478029294,6
1.491665148667024,1.5657845202203438,0.48717902995720397,0.49001331557922767,7
1.4755744773549122,1.5967546210942987,0.49156562054208275,0.5126498002663116,8
1.4516940336424682,1.43468348560892,0.4875534950071327,0.5159786950732357,9
1.4231250842865795,1.4574189990877946,0.48942582025677606,0.48868175765645805,10
1.4324598946006764,1.484657750783684,0.487018544935806,0.47470039946737685,11
1.4028828923780465,1.403868193315285,0.4937410841654779,0.5159786950732357,12
1.3966110718318296,1.4215883856289555,0.4939550641940086,0.5246338215712384,13
1.353646380993167,1.3754423466249408,0.5000891583452212,0.5246338215712384,14
1.3339356235702775,1.466852822252977,0.5082025677603423,0.5193075898801598,15
1.317376429548277,1.3637564210059958,0.5102888730385164,0.5239680426098535,16
1.2778599057149955,1.4356790003224156,0.520435092724679,0.5432756324900133,17
1.2641781933807612,1.3958574875534453,0.5244650499286734,0.5386151797603196,18
1.2468180794518617,1.341162149820442,0.5259272467902996,0.525965379494008,19
1.233198486789317,1.3864522932690089,0.5278174037089871,0.5386151797603196,20
1.2223011466814007,1.397705839810454,0.5333630527817403,0.5525965379494008,21
1.203875570800607,1.3929380091147798,0.5364479315263909,0.547936085219707,22
1.2051227359050691,1.3850821477277937,0.5409950071326676,0.5439414114513982,23
1.2102786942657493,1.36837728228296,0.5376961483594864,0.5579227696404794,24
1.1892127859099275,1.4005739846813694,0.5459343794579172,0.5585885486018641,25
1.1785022945104755,1.4012376472413461,0.5475035663338088,0.5572569906790945,26
1.1671613110625285,1.4216301841996164,0.5483059914407988,0.563249001331558,27
1.172789739916226,1.3816694683939734,0.5490192582025678,0.5539280958721704,28
1.1757763537802812,1.3888140350143696,0.5466833095577746,0.5599201065246339,29
1.1726145496211957,1.389861032346911,0.5492154065620543,0.5565912117177098,30
